序号,特征,代码时段,最早可得时点,说明
1,ICUAdmSCr,icu,入ICU即刻,入ICU首次血标本，检验约1h回报
2,术后β2MG,postop,入ICU后约2h,入ICU即刻抽血，β2-微球蛋白检验约1–2h回报
3,ICUAdmeGFR,icu,入ICU即刻,由入ICU肌酐计算，随检验回报
4,术前hsTn,preop,术前评估,术前高敏肌钙蛋白回报
5,术后Mb,postop,入ICU后约2h,入ICU即刻抽血，肌红蛋白检验约1–2h回报
6,术后Lactate,postop,入ICU后约1h,入ICU即刻抽血，血气乳酸约10–30min回报
7,术后hsTn,postop,入ICU后约2h,入ICU即刻抽血，高敏肌钙蛋白约1–2h回报
8,手术时间,preop,手术结束,手术麻醉记录单，手术结束时可得
9,术后Urea,postop,入ICU后约1h,入ICU即刻抽血，尿素检验约1h回报
10,术前β2MG,preop,术前评估,术前化验回报
11,术前SBP,preop,术前评估,术前生命体征记录
12,术后UA,postop,入ICU后约2h,入ICU即刻抽血，尿酸检验约1–2h回报
13,术后MONO,postop,入ICU后约1h,入ICU即刻抽血，血常规约1h回报
14,术前PLR,preop,术前评估,由术前PLT与淋巴细胞计算
15,术后PaO2,postop,入ICU后约30min,入ICU即刻血气分析，约10–30min回报
16,术后PLR,postop,入ICU后约1h,由术后PLT与淋巴细胞计算，随血常规回报
17,术后PLT,postop,入ICU后约1h,入ICU即刻抽血，血常规约1h回报
18,术前eGFR,preop,术前评估,由术前Scr按CKD-EPI计算
19,术前WBC,preop,术前评估,术前血常规回报
20,APACHEII,preop,入ICU即刻,入ICU首日APACHE II评分（含入室急查指标）
21,术中晶体液量,intraop,手术结束,麻醉记录单，手术结束时可得
22,术前RBP,preop,术前评估,术前视黄醇结合蛋白回报
23,术后CRP,postop,入ICU后约2h,入ICU即刻抽血，CRP约1–2h回报
24,术前PLT,preop,术前评估,术前血常规回报
25,术后Alb,postop,入ICU后约1h,入ICU即刻抽血，白蛋白约1h回报
26,术中失血量,intraop,手术结束,麻醉记录单，手术结束时可得
27,术前PaO2,preop,术前评估,术前血气分析回报
28,术后CAR,postop,入ICU后约2h,由术后CRP与白蛋白计算，随两者回报
29,术后BE,postop,入ICU后约30min,入ICU即刻血气分析，碱剩余随血气约10–30min回报
30,术前NEUT,preop,术前评估,术前血常规回报（中性粒细胞绝对值）
31,术前BNP,preop,术前评估,术前脑钠肽回报
32,术前CKMBCK,preop,术前评估,术前心肌酶回报
33,术前LMR,preop,术前评估,由术前淋巴细胞与单核细胞计算
34,术后BNP,postop,入ICU后约2h,入ICU即刻抽血，BNP约1–2h回报
35,术前Scr,preop,术前评估,术前血肌酐（病历已有或术前检查回报）
